Range? (y/n),Segment,Rank TY,Rank LY,Segment % share,ALM description,ALM item code,Barcode (GTIN),Supplier,Stock type,Carton size,Unit cost ex GST,Already stocked (barcode match)
,SCOTCH,7,7,4.40%,GLENFIDDICH MALT 12YO    700ML,85775,5010327115115,,core-extract,6.0,68.01,YES
,SCOTCH,8,8,3.75%,DIMPLE SCOTCH 12YO       700ML,990124,5000281012872,,core-extract,6.0,51.62,YES
,SCOTCH,9,9,2.99%,BLACK DOUGLAS SCOTCH     700ML,555584,9300776006628,,core-extract,12.0,41.42,
,SCOTCH,10,10,2.54%,MONKEY SHOULDER SCOTCH   700ML,533286,5010327105215,,core-extract,6.0,55.25,YES
,SCOTCH,11,11,2.45%,J/WALKER RED LBL NUPK   1125ML,584334,5000267013404,,core-extract,6.0,84.32,
,SCOTCH,12,12,2.01%,BALLANTINES SCOTCH       700ML,555940,5010106113127,,core-extract,6.0,44.45,
,SCOTCH,13,13,1.86%,GLENSHIEL SCOTCH BIS     700ML,647250,,,,,,
,SCOTCH,14,15,1.61%,GLENLIVET FOUNDER RES    700ML,353071,5000299609347,,core-extract,6.0,61.23,
,SCOTCH,15,14,1.60%,SINGLETON MALT MASTER    700ML,813966,5000281051413,,core-extract,6.0,56.52,
,SCOTCH,16,16,1.19%,J/WALKER BLACK LABEL        1L,14384,5000267189604,,core-extract,6.0,72.49,
,SCOTCH,17,18,1.14%,GLENLIVET 12YR           700ML,993855,0080432402825,,core-extract,6.0,68.42,
,SCOTCH,18,21,1.07%,MACALLAN SHERRY OAK 12YO 700ML,718064,5010314017408,,core-extract,6.0,137.40,
,SCOTCH,19,22,1.04%,MACALLAN DBL CASK 12YO   700ML,820620,5010314302863,,core-extract,6.0,117.73,
,SCOTCH,20,17,0.93%,J/WALKER DBL  BLACK      700ML,542950,5000267115443,,core-extract,6.0,59.80,YES
,SCOTCH,21,20,0.88%,J/WALKER RED LBL MINS     50ML,593558,08911308,,core-extract,12.0,8.20,
,SCOTCH,22,19,0.75%,DIMPLE SCOTCH 15YO       700ML,587696,5000281003337,,core-extract,6.0,63.80,
,SCOTCH,23,24,0.71%,CHIVAS REGAL SCOTCH 12YO    1L,583139,0080432400432,,core-extract,6.0,70.58,
,SCOTCH,24,28,0.69%,GLENSHIEL SCOTCH WHISKY BIS 1L,643963,,,,,,
,SCOTCH,25,23,0.57%,J/WALKER GOLD RESERVE    700ML,994607,5000267197692,,core-extract,6.0,86.02,
,SPIRITS KEGS,1,1,53.73%,SMIRNOFF VODKA RED 37%    20L,465991,9310495084104,,core-extract,1.0,1097.32,
,SPIRITS KEGS,2,2,27.69%,BUNDY RUM UP               20L,568464,9311866005001,,core-extract,1.0,1146.43,
,SPIRITS KEGS,3,4,3.71%,J/WALKER RED LBL 40%       20L,873178,,,,,,
,SPIRITS KEGS,4,13,3.47%,CASA VODKA KEG             20L,245647,9356572000896,,core-extract,1.0,943.62,
,SPIRITS KEGS,5,7,2.60%,STEINBOK TRIPLE SEC KEG    20L,89834,9324114004015,,core-extract,1.0,745.62,
,SPIRITS KEGS,6,13,1.95%,CASA TEQ BLNCO AGAVE KEG   20L,246355,9356572001084,,core-extract,1.0,1064.62,
,SPIRITS KEGS,7,6,1.68%,STEINBOK PEACH SCHNAPPS KEG20L,89999,9324114004008,,core-extract,1.0,745.62,
,SPIRITS KEGS,8,13,1.65%,CASA WHITE RUM KEG         20L,246397,9356572002081,,core-extract,1.0,1064.62,
,SPIRITS KEGS,9,11,1.32%,WHITE LIGHT VODKA          20L,133837,,,,,,
