Range? (y/n),Brand,ALM description,Category,Supplier,ALM item code,Barcode (GTIN),Carton size,Unit cost ex GST,Retail @25% GP ex GST,On promo,Notes
,DE,DEVILISH CHARDONNAY      750ML,WINE STILL WHITE,TREASURY WINE ESTATES,172014,9311220009553,6,21.57,31.99,,
,ST,BUNNAMAGOO EST SEMILLON  750ML,WINE STILL WHITE,BUNNAMAGOO ESTATE,500487,9338153000037,12,20.75,30.99,,
,ST,BUNNAMAGOO EST RIESLING  750ML,WINE STILL WHITE,BUNNAMAGOO ESTATE,473889,9338153000044,12,20.75,30.99,,
,PENFOLDS,PENFOLDS MAX CHARDONNAY  750ML,WINE STILL WHITE,PENFOLDS WINES INTERNATIO,644532,9310297010523,6,20.10,29.99,Y,
,ST,HEGGIES EST RIESLING     750ML,WINE STILL WHITE,SAMUEL SMITH & SON,530178,9311789000275,6,20.00,29.99,,
,ST,ST HUBERTS CHARDONNAY    750ML,WINE STILL WHITE,TREASURY WINE ESTATES,533273,9313666113238,6,19.88,29.99,,
,ATA,CATALINA SOUNDS SAUV BLNC750ML,WINE STILL WHITE,JOVAL WINE GROUP PTY LTD,865329,9316128000367,6,19.58,28.99,Y,
,TAYLORS,TAYLORS HTGE RIESLING OP 750ML,WINE STILL WHITE,TAYLORS WINES PTY LTD,535212,9311659003047,6,19.32,28.99,,
,TE,CORTE GIARA PINOT GRIGIO 750ML,WINE STILL WHITE,NEGOCIANTS AUSTRALIA,592772,0801522000260,6,19.24,28.99,,
,SHAW,PHILIP SHAW GARD P/GRIS  750ML,WINE STILL WHITE,OATLEY FINE WINE MERCHANT,580403,9336520002080,6,18.96,27.99,Y,
,PETALUMA,PETALUMA WL CHARD        750ML,WINE STILL WHITE,VINARCHY AUSTRALIA,571535,9338979000525,6,18.67,27.99,Y,
,PETALUMA,PETALUMA WL PINOT GRIS   750ML,WINE STILL WHITE,VINARCHY AUSTRALIA,571543,9338979000556,6,18.67,27.99,Y,
,PIKES,PIKES RIESLING           750ML,WINE STILL WHITE,OATLEY FINE WINE MERCHANT,536580,9315825003039,6,18.62,27.99,Y,
,DE,PONTING TOP ORDER CHARD  750ML,WINE STILL WHITE,CALABRIA FAMILY WINES P/L,911421,9356226000135,6,18.18,26.99,,
,ST,STONEFISH CHARDONNAY MR 750ML,WINE STILL WHITE,LIGHT FEET WINES PTY LTD,516213,9335564003343,12,18.06,26.99,,
,TE,SANTI SORTES PINOT GRIG  750ML,WINE STILL WHITE,OATLEY FINE WINE MERCHANT,581263,8000160671494,6,17.62,25.99,,
,TE,PETER LEHM H&V EV CHARD  750ML,WINE STILL WHITE,OATLEY FINE WINE MERCHANT,556323,9311910103547,6,17.34,25.99,,
,TE,PETER LEHM H&V PINOT GRIS750ML,WINE STILL WHITE,OATLEY FINE WINE MERCHANT,565178,9311910104209,6,17.34,25.99,,
,DE,TAYLOR MADE PINOT GRIS 750ML,WINE STILL WHITE,TAYLORS WINES PTY LTD,129210,9311659002477,6,17.18,25.99,,
,BERTON,BERTON RESERVE BOTRYTIS  375ML,WINE STILL WHITE,BERTON VINEYARDS P/L,413169,9335966000254,3,16.85,24.99,,
,PEPPERJACK,PEPPERJACK CHARDONNAY    750ML,WINE STILL WHITE,TREASURY WINE ESTATES,874718,9300770005160,6,16.76,24.99,Y,
,WIRRA,WIRRA WIRRA H/CHP S/BLNC 750ML,WINE STILL WHITE,SAMUEL SMITH & SON,589208,9315125901363,6,16.73,24.99,Y,
,HILL,PENNYS HILL THE AGRMT SB 750ML,WINE STILL WHITE,DOMAINE WINE SHIPPERS P/L,472249,9326215002662,6,16.71,24.99,,
,TAYLORS,TAYLORS JARAMAN CHARD    750ML,WINE STILL WHITE,TAYLORS WINES PTY LTD,805581,9311659000794,6,16.52,24.99,Y,
,DE,ROLF BINDER E/V RIESLING 750ML,WINE STILL WHITE,VINARCHY AUSTRALIA,596768,9333362000168,6,16.21,23.99,,
,WYNNS,WYNNS GABLES CHARDONNAY  750ML,WINE STILL WHITE,TREASURY WINE ESTATES,590283,9300620005180,6,16.08,23.99,,
,TE,CALI SNOOP BUTTERY CHARD 750ML,WINE STILL WHITE,TREASURY WINE ESTATES,544041,9311220013635,6,16.08,23.99,,
,ST,NUGAN EST K/VLY PNT GRIG 750ML,WINE STILL WHITE,NUGAN ESTATE PTY LTD,761973,9329056000446,6,16.05,23.99,,
,AUDREY,AUDREY WILK PINOT GRIGIO 750ML,WINE STILL WHITE,JOVAL WINE GROUP PTY LTD,913973,9330726000741,6,15.94,23.99,Y,
,AUDREY,AUDREY WILK SEM SAV BLNC 750ML,WINE STILL WHITE,JOVAL WINE GROUP PTY LTD,590500,9330726000635,6,15.94,23.99,Y,
,AUDREY,AUDREY WILK SEMILLON     750ML,WINE STILL WHITE,JOVAL WINE GROUP PTY LTD,585089,9330726000727,6,15.94,23.99,Y,
,AUDREY,AUDREY WILK CHARDONNAY   750ML,WINE STILL WHITE,JOVAL WINE GROUP PTY LTD,582727,9330726000659,6,15.94,23.99,Y,
,ST,NUGAN EST K/VLY SAV BLNC 750ML,WINE STILL WHITE,NUGAN ESTATE PTY LTD,581195,9329056000835,12,15.73,23.99,,
,BURGE,G/BURGE THORN EV RIES    750ML,WINE STILL WHITE,VINARCHY AUSTRALIA,516611,9315705002008,6,15.59,22.99,Y,
,BURGE,G/BURGE E/ARGYLE P/GRIS  750ML,WINE STILL WHITE,VINARCHY AUSTRALIA,858110,9315705001001,6,15.59,22.99,Y,
,ST,NUGAN EST K/VLY CHARD    750ML,WINE STILL WHITE,NUGAN ESTATE PTY LTD,580830,9329056000828,6,15.46,22.99,Y,
,ANGOVE,ANGOVE LITTLE BRD O RIES 750ML,WINE STILL WHITE,VINTAGE HOUSE WINE & SPIR,370751,9300694003211,6,15.41,22.99,,
,ANGOVE,ANGOVE LITTLE BR P/GRIS  750ML,WINE STILL WHITE,VINTAGE HOUSE WINE & SPIR,306359,9300694003174,6,15.41,22.99,,
